model,train_MSE,train_MAE,train_R2,test_MSE,test_MAE,test_R2,train_time_sec,test_time_sec
linear_regression,23156982761.437225,107889.04181778073,0.6849822060508786,22743122803.990368,108946.24354927934,0.6805618976987288,0.005525350570678711,0.001505136489868164
ridge,23157053807.495132,107876.90894461151,0.6849812395703719,22741109086.644226,108931.92059517215,0.6805901813277258,0.003347635269165039,0.0
lasso,23156984339.81357,107887.18614121943,0.6849821845793147,22742716151.170036,108943.89479334287,0.6805676093332453,2.3698744773864746,0.0010118484497070312
decision_tree,18002763399.03018,89129.8910450535,0.7550980251021919,19311251895.4826,93231.5847736942,0.7287641758029615,0.028516530990600586,0.0069730281829833984
random_forest,15957617453.58821,83481.61079490592,0.7829193250821697,17478339109.246437,87683.91210850088,0.7545083177646927,0.2233867645263672,0.028228282928466797
xgboost,13290765805.45295,76998.40344408908,0.8191980463490938,13965274420.347641,79692.89726960436,0.8038510015797115,0.126617431640625,0.0014469623565673828
