model,train_MSE,train_MAE,train_R2,test_MSE,test_MAE,test_R2,train_time_sec,test_time_sec
linear_regression,21518380956.37322,103721.31058988463,0.7072730515858983,21618716709.174328,105186.26778107765,0.6963547222918844,0.005781412124633789,0.0010075569152832031
ridge,21518463472.63826,103705.56420323368,0.7072719290695477,21614679158.399895,105175.12095539557,0.6964114316351195,0.0019769668579101562,0.0010097026824951172
lasso,21518382622.27455,103719.20036165736,0.7072730289236815,21617853464.786587,105184.54520915689,0.6963668469746476,2.2750253677368164,0.0
decision_tree,18002763399.03018,89129.8910450535,0.7550980251021919,19311251895.4826,93231.5847736942,0.7287641758029615,0.031053781509399414,0.0009996891021728516
random_forest,15958598103.242981,83479.28964368612,0.782905984739256,17475022536.32344,87672.59243275518,0.7545549006271165,0.2193441390991211,0.027298927307128906
xgboost,13290765805.45295,76998.40344408908,0.8191980463490938,13965274420.347641,79692.89726960436,0.8038510015797115,0.11719632148742676,0.0
